participant,expectancy,owner,rt,accuracy
P001,none,self,568.2,1
P001,none,self,638.6,1
P001,none,self,512.0,0
P001,none,self,454.0,1
P001,none,self,661.5,1
P001,none,self,430.9,1
P001,none,self,631.9,1
P001,none,self,400.3,1
P001,none,self,528.2,1
P001,none,self,683.1,1
P001,none,self,523.1,1
P001,none,self,615.5,1
P001,none,self,544.4,1
P001,none,self,402.4,1
P001,none,self,379.9,1
P001,none,self,297.1,1
P001,none,self,304.4,1
P001,none,self,407.3,0
P001,none,self,304.9,0
P001,none,self,697.8,1
P001,none,self,476.8,1
P001,none,self,572.2,1
P001,none,self,450.5,1
P001,none,self,474.7,1
P001,none,self,505.5,1
P001,none,self,508.7,1
P001,none,self,585.0,1
P001,none,self,404.9,1
P001,none,self,311.7,1
P001,none,self,670.6,1
P001,none,self,485.6,1
P001,none,self,560.2,1
P001,none,self,517.7,1
P001,none,self,404.3,1
P001,none,self,415.5,1
P001,none,self,500.7,1
P001,none,self,555.9,1
P001,none,self,593.8,1
P001,none,self,673.7,1
P001,none,self,371.0,1
P001,none,self,583.9,1
P001,none,self,539.5,1
P001,none,self,456.2,1
P001,none,self,467.1,1
P001,none,self,458.6,1
P001,none,self,522.0,1
P001,none,self,610.4,1
P001,none,self,337.9,1
P001,none,self,420.5,1
P001,none,self,404.4,1
P001,none,self,502.6,1
P001,none,self,562.6,1
P001,none,self,515.0,1
P001,none,self,326.2,1
P001,none,self,380.9,1
P001,none,self,426.8,1
P001,none,self,568.5,1
P001,none,self,460.8,0
P001,none,self,474.0,0
P001,none,self,410.0,1
P001,none,self,384.1,0
P001,none,self,600.4,1
P001,none,self,500.1,1
P001,none,self,505.3,1
P001,none,self,366.2,0
P001,none,self,460.7,1
P001,none,self,398.9,1
P001,none,self,389.1,1
P001,none,self,483.3,0
P001,none,self,338.8,1
P001,none,self,691.5,1
P001,none,self,479.3,1
P001,none,self,460.8,1
P001,none,self,405.6,1
P001,none,self,562.7,1
P001,none,self,504.0,0
P001,none,self,401.5,1
P001,none,self,292.0,1
P001,none,self,298.3,1
P001,none,self,488.6,1
P001,none,self,397.4,1
P001,none,self,482.4,1
P001,none,self,488.7,1
P001,none,self,446.2,1
P001,none,self,375.4,1
P001,none,self,450.6,1
P001,none,self,444.5,1
P001,none,self,543.8,1
P001,none,self,481.8,1
P001,none,self,396.4,1
P001,none,self,612.0,1
P001,none,self,444.0,1
P001,none,self,482.0,1
P001,none,self,484.5,1
P001,none,self,374.8,1
P001,none,self,387.3,1
P001,none,self,489.4,1
P001,none,self,221.0,1
P001,none,self,537.2,1
P001,none,self,346.3,1
P001,none,self,465.9,1
P001,none,self,441.4,0
P001,none,self,352.4,1
