participant,expectancy,owner,rt,accuracy
P1,self,self,534.578934,1
P1,self,self,1193.853007,1
P1,self,self,719.485043,1
P1,self,self,764.738019,1
P1,self,self,912.229402,1
P1,self,self,455.719232,1
P1,self,self,498.60164,1
P1,self,self,533.224463,1
P1,self,self,427.979059,1
P1,self,self,424.838349,1
P1,self,self,588.421543,1
P1,self,self,1017.001464,1
P1,self,self,406.920444,1
P1,self,self,552.255068,1
P1,self,self,561.336332,1
P1,self,self,496.164494,1
P1,self,self,389.009564,1
P1,self,self,398.098005,1
P1,self,self,969.02836,0
P1,self,self,534.427999,1
P1,self,self,654.396048,1
P1,self,self,399.23768,1
P1,self,self,403.041187,1
P1,self,self,560.692114,1
P1,self,self,772.690126,1
P1,self,self,536.540851,1
P1,self,self,555.036776,1
P1,self,self,524.669392,1
P1,self,self,437.570218,1
P1,self,self,609.31518,1
P1,self,self,427.446063,1
P1,self,self,445.85976,1
P1,self,self,414.608236,1
P1,self,self,464.893238,1
P1,self,self,371.494909,1
P1,self,self,413.53183,1
P1,self,self,745.731396,1
P1,self,self,537.159127,1
P1,self,self,498.269921,1
P1,self,self,630.407693,1
P1,self,self,716.138968,1
P1,self,self,429.055106,1
P1,self,self,588.036127,1
P1,self,self,1064.091145,1
P1,self,self,357.566266,1
P1,self,self,674.307965,1
P1,self,self,377.981912,1
P1,self,self,557.07142,1
P1,self,self,432.088454,1
P1,self,self,479.527695,1
P1,self,self,742.833372,1
P1,self,self,433.257772,1
P1,self,self,438.140404,1
P1,self,self,497.945212,1
P1,self,self,575.261529,1
P1,self,self,655.903343,1
P1,self,friend,471.06122,1
P1,self,friend,322.541005,0
P1,self,friend,543.636471,1
P1,self,friend,588.710812,1
P1,self,friend,379.284555,1
P1,self,friend,633.028083,1
P1,self,friend,499.995407,1
P1,self,friend,611.169622,1
P1,self,friend,424.384713,1
P1,self,friend,576.44744,1
P1,self,friend,744.189376,1
P1,self,friend,309.31717,1
P1,self,friend,496.417707,1
P1,self,friend,344.463183,1
P1,self,friend,578.65149,1
P1,self,friend,495.830667,1
P1,self,friend,498.364532,1
P1,self,friend,589.498001,1
P1,self,friend,453.608355,1
P1,self,friend,467.168584,1
P1,self,friend,760.678738,1
P1,self,friend,395.043026,1
P1,self,friend,466.63368,1
P1,self,friend,301.162643,1
P1,self,friend,395.830934,1
P1,self,friend,594.704038,1
P1,self,friend,316.038019,0
P1,self,friend,504.317356,1
P1,self,friend,396.758384,1
P1,self,friend,330.913491,1
P1,self,friend,1294.305833,1
P1,self,friend,464.601567,1
P1,self,friend,475.46108,1
P1,self,friend,448.643498,1
P1,self,friend,538.587352,1
P1,self,friend,721.486014,1
P1,self,friend,389.680131,1
P1,self,friend,749.546644,1
P1,self,friend,725.097605,1
P1,self,friend,738.488011,1
P1,self,friend,578.066158,1
P1,self,friend,428.183694,1
P1,self,friend,501.940303,1
P1,self,friend,427.28954,1
P1,self,friend,1042.714299,1
P1,self,friend,533.491593,1
P1,self,friend,457.991271,1
P1,self,friend,571.534076,1
P1,self,friend,538.652346,1
P1,self,friend,719.89207,1
P1,self,friend,406.397011,1
P1,self,friend,656.534106,1
P1,self,friend,538.316858,1
P1,self,friend,720.67535,1
P1,self,friend,534.123284,1
P1,self,friend,425.583599,1
P1,self,friend,456.998248,1
P1,self,friend,442.230679,1
P1,self,friend,540.464798,1
P1,self,friend,432.97239,1
P1,self,friend,411.523032,1
P1,self,friend,371.797617,1
P1,self,friend,599.506834,1
P1,self,friend,420.36553,1
P1,self,friend,484.838104,1
P1,self,friend,482.766995,0
P1,self,friend,669.818819,1
P1,self,friend,577.713583,1
P1,self,friend,489.628332,1
P1,self,friend,584.709394,1
P1,self,friend,281.422447,1
P1,self,friend,315.583184,1
P1,self,friend,404.136636,1
P1,self,friend,550.69012,1
P1,self,friend,576.766353,1
P1,self,friend,622.541425,1
P1,self,friend,421.039703,1
P1,self,friend,277.090105,1
P1,self,friend,523.412256,1
P1,self,friend,288.621318,1
P1,self,friend,536.49272,1
P1,self,friend,546.95738,1
P1,self,friend,558.841749,1
P1,self,friend,650.117884,1
P1,self,friend,370.292671,1
P1,self,friend,521.167428,0
P1,self,friend,429.893216,1
P1,self,friend,497.53308,1
P1,self,friend,408.581845,1
P1,self,friend,430.801744,1
P1,self,friend,603.789477,1
P1,self,friend,555.66597,1
P1,self,friend,401.387718,1
P1,self,friend,440.07707,1
P1,self,friend,504.807109,1
P1,self,friend,430.374255,1
P1,self,friend,525.271859,1
P1,self,friend,406.222065,1
P1,self,friend,669.76877,1
P1,self,friend,1068.536307,1
P1,self,friend,566.01615,1
P1,self,friend,536.515059,1
P1,self,friend,1070.750431,1
P1,self,friend,467.820165,1
P1,self,friend,619.172662,1
P1,self,friend,552.231544,1
P1,self,friend,1042.970367,1
P1,self,friend,457.272005,1
P1,self,friend,699.077124,1
P1,self,friend,658.733216,1
P1,self,friend,588.337121,1
P1,self,friend,570.879585,1
P1,self,friend,321.157868,1
