participant,expectancy,owner,rt,accuracy
P1,none,self,564.005602,1
P1,none,self,348.79263,1
P1,none,self,675.276109,1
P1,none,self,839.902879,0
P1,none,self,305.030162,1
P1,none,self,406.749834,1
P1,none,self,340.048512,1
P1,none,self,428.34075,1
P1,none,self,510.751894,1
P1,none,self,446.30633,1
P1,none,self,382.076816,1
P1,none,self,746.817819,1
P1,none,self,614.336265,1
P1,none,self,785.403673,1
P1,none,self,343.76069,1
P1,none,self,688.695545,1
P1,none,self,666.495345,1
P1,none,self,460.845103,1
P1,none,self,483.781772,1
P1,none,self,626.693315,1
P1,none,self,525.321038,1
P1,none,self,307.642061,1
P1,none,self,676.054345,1
P1,none,self,323.943834,1
P1,none,self,618.855454,1
P1,none,self,520.211409,1
P1,none,self,438.040652,0
P1,none,self,394.580105,0
P1,none,self,423.778455,1
P1,none,self,391.089287,1
P1,none,self,478.829528,1
P1,none,self,482.697561,1
P1,none,self,433.103408,1
P1,none,self,385.796348,1
P1,none,self,771.861449,1
P1,none,self,370.656695,1
P1,none,self,486.750328,1
P1,none,self,570.168446,1
P1,none,self,511.168719,1
P1,none,self,424.760162,1
P1,none,self,545.98785,1
P1,none,self,1137.025671,1
P1,none,self,1069.670127,1
P1,none,self,523.432119,1
P1,none,self,541.182145,1
P1,none,self,467.280124,1
P1,none,self,477.367229,1
P1,none,self,556.619019,1
P1,none,self,571.417039,1
P1,none,self,530.474696,1
P1,none,self,919.262642,1
P1,none,self,409.608327,1
P1,none,self,536.568471,1
P1,none,self,323.730712,1
P1,none,self,657.900084,1
P1,none,self,499.229325,1
P1,none,self,446.147749,1
P1,none,self,369.584273,1
P1,none,self,446.346233,1
P1,none,self,469.287243,1
P1,none,self,356.881878,1
P1,none,self,469.615542,0
P1,none,self,305.887674,1
P1,none,self,370.638645,1
P1,none,self,825.473579,1
P1,none,self,347.162783,1
P1,none,self,442.200564,1
P1,none,self,645.198984,1
P1,none,self,795.892274,0
P1,none,self,549.708402,1
P1,none,self,510.805809,1
P1,none,self,436.149383,1
P1,none,self,548.919335,1
P1,none,self,417.370487,1
P1,none,self,503.868844,1
P1,none,self,560.06156,1
P1,none,self,541.482717,1
P1,none,self,452.618689,1
P1,none,self,623.9183,1
P1,none,self,632.875163,0
P1,none,self,431.130039,1
