participant,expectancy,owner,rt,accuracy
P1,self,self,432.961697,1
P1,self,self,600.974591,1
P1,self,self,577.840221,1
P1,self,self,301.677036,1
P1,self,self,1036.306048,1
P1,self,self,580.08142,1
P1,self,self,479.071199,1
P1,self,self,411.438119,1
P1,self,self,518.502917,1
P1,self,self,721.774614,1
P1,self,self,335.624271,1
P1,self,self,358.872125,1
P1,self,self,861.481806,0
P1,self,self,295.293053,1
P1,self,self,350.44293,1
P1,self,self,494.2583,1
P1,self,self,430.794585,1
P1,self,self,511.519692,1
P1,self,self,394.639135,1
P1,self,self,1099.54076,1
P1,self,self,1385.763612,1
P1,self,self,1308.4724,1
P1,self,self,588.277642,0
P1,self,self,681.742099,1
P1,self,self,838.488386,1
P1,self,self,531.812677,1
P1,self,self,617.995079,1
P1,self,self,400.852819,1
P1,self,self,426.948668,1
P1,self,self,1020.955257,1
P1,self,self,641.16694,1
P1,self,self,595.846181,1
P1,self,self,617.523367,1
P1,self,self,616.822203,1
P1,self,self,322.408684,0
P1,self,self,517.338591,1
P1,self,self,564.710377,1
P1,self,self,305.313331,1
P1,self,self,839.740028,1
P1,self,self,500.7148,1
P1,self,self,589.858087,1
P1,self,self,375.895034,1
P1,self,self,481.974985,1
P1,self,self,466.009805,1
P1,self,self,552.04928,1
P1,self,self,599.192619,1
P1,self,self,573.662509,1
P1,self,self,359.979833,1
P1,self,self,749.339474,0
P1,self,self,727.530247,1
P1,self,self,396.672759,1
P1,self,self,504.933407,1
P1,self,self,633.602832,1
P1,self,self,594.274193,1
P1,self,self,472.315586,1
P1,self,self,461.534981,1
P1,self,friend,407.363253,1
P1,self,friend,847.972325,0
P1,self,friend,551.554035,1
P1,self,friend,505.868984,1
P1,self,friend,950.355059,0
P1,self,friend,478.206838,1
P1,self,friend,572.750963,1
P1,self,friend,432.796912,1
P1,self,friend,391.293281,1
P1,self,friend,446.278744,1
P1,self,friend,413.512585,1
P1,self,friend,379.654909,1
P1,self,friend,933.634125,1
P1,self,friend,550.372784,1
P1,self,friend,499.164936,1
P1,self,friend,455.000705,1
P1,self,friend,320.291183,1
P1,self,friend,972.889374,1
P1,self,friend,579.308885,1
P1,self,friend,538.572768,1
P1,self,friend,731.638336,1
P1,self,friend,781.078942,0
P1,self,friend,386.984683,1
P1,self,friend,652.858745,1
P1,self,friend,435.146732,1
P1,self,friend,490.606212,1
P1,self,friend,418.539755,1
P1,self,friend,754.542298,1
P1,self,friend,485.559849,1
P1,self,friend,591.536779,1
P1,self,friend,333.905846,1
P1,self,friend,688.033,1
P1,self,friend,298.214788,1
P1,self,friend,485.23548,1
P1,self,friend,483.832314,1
P1,self,friend,507.914334,1
P1,self,friend,764.325301,1
